country,2015,2016
Turkey,2.541352,2.869421
Pakistan,1.561162,1.35256
Lebanon,1.070854,1.012969
Islamic Rep. of Iran,0.979437,0.979435
Uganda,0.477187,0.940835
Ethiopia,0.736086,0.791631
Jordan ,0.664118,0.685197
Germany,0.316115,0.669482
DR of the Congo,0.383095,0.451956
Kenya,0.553912,0.451099
